"code","iso","country","PACOVD.1990","PACOVD.1991","PACOVD.1992","PACOVD.1993","PACOVD.1994","PACOVD.1995","PACOVD.1996","PACOVD.1997","PACOVD.1998","PACOVD.1999","PACOVD.2000","PACOVD.2001","PACOVD.2002","PACOVD.2003","PACOVD.2004","PACOVD.2005","PACOVD.2006","PACOVD.2007","PACOVD.2008","PACOVD.2009","PACOVD.2010","PACOVD.2011","PACOVD.2012"
76,"BRA","Brazil",6.963403108,6.963403108,6.963403108,7.591533789,7.591533789,9.049429284,9.049429284,10.69759218,12.00954688,12.83451618,12.98991282,13.39192551,13.68214421,13.69209088,13.93037431,13.72576629,13.93037431,13.93614659,13.9783512,14.00009289,14.00747523,14.00747523,14.00747523
92,"VGB","British Virgin Islands",5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337,5.576725337
96,"BRN","Brunei Darussalam",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
100,"BGR","Bulgaria",1.966213987,1.966213987,3.133976235,3.134998982,3.134998982,4.076025302,4.076025302,4.080053491,4.080053491,4.081470984,4.275317507,4.374918752,16.97327597,16.97327597,16.97608987,16.97608987,16.97608987,16.97608987,17,17,17,17,17
854,"BFA","Burkina Faso",13.67824043,13.67824043,13.67824043,13.67824043,13.67824043,13.67824043,13.67824043,13.84000723,13.84000723,13.84000723,13.84000723,13.84000723,13.84000723,14.23755472,14.23755472,14.23755472,14.23755472,14.23755472,14.23755472,14.23755472,14.23755472,14.23755472,14.23755472
108,"BDI","Burundi",4.108607758,4.108607758,4.108607758,4.511379071,4.511379071,4.511379071,4.511379071,4.986100689,4.986100689,4.986100689,5.149947917,5.149947917,5.149947917,5.149947917,5.149947917,5.149947917,5.149947917,5.149947917,5.149947917,5.149947917,5.149947917,5.149947917,5.149947917
116,"KHM","Cambodia",0.000186329,0.000186329,0.000186329,15.25186499,15.25186499,15.60496669,15.60496669,15.6181248,15.6181248,17,17,17,17,17,17,17,17,17,17,17,17,17,17
120,"CMR","Cameroon",5.736493917,5.736493917,5.736493917,5.736493917,5.736493917,5.754220418,5.754220418,5.903864766,5.903864766,5.903864766,7.390218446,7.856224402,7.856224402,7.856224402,8.936498234,8.936498234,8.936498234,8.999997592,9.196036139,9.283327064,9.445198291,9.445198291,9.445198291
124,"CAN","Canada",5.218523506,5.218523506,5.280406012,5.776640584,5.776640584,6.179043989,6.179043989,6.470778279,6.716261704,6.885643773,6.981554347,7.455784749,7.496359023,7.925478226,8.184409823,8.124423,8.184409823,8.233094215,8.334471204,8.37972112,8.385983537,8.385983537,8.385983537
132,"CPV","Cape Verde",2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266,2.48940266
